	fleece	Spelling_1	Spelling_2
1	Sg+Nom	 fleece    	
2	Sg+Gen	 fleece    	
3	Sg+Acc	 fleece    	
4	Sg+Ill	 fleecen    	
5	Sg+Loc	 fleecest    	
6	Sg+Com	 fleecein    	
7	Sg+Abe	 fleecettáá    	
8	Ess	 fleecen    	
9	Par	 fleeced    	
10	Pl+Nom	 fleeceh    	
11	Pl+Gen	 fleecij    	
12	Pl+Acc	 fleecijd    	
13	Pl+Ill	 fleecijd    	
14	Pl+Loc	 fleecijn    	
15	Pl+Com	 fleecijguin    	 fleecijgijn    
16	Pl+Abe	 fleecijttáá    	
	joule	Spelling_1	Spelling_2
1	Sg+Nom	 joule    	
2	Sg+Gen	 joule    	
3	Sg+Acc	 joule    	
4	Sg+Ill	 joulen    	
5	Sg+Loc	 joulest    	
6	Sg+Com	 joulein    	
7	Sg+Abe	 joulettáá    	
8	Ess	 joulen    	
9	Par	 jouled    	
10	Pl+Nom	 jouleh    	
11	Pl+Gen	 joulij    	
12	Pl+Acc	 joulijd    	
13	Pl+Ill	 joulijd    	
14	Pl+Loc	 joulijn    	
15	Pl+Com	 joulijguin    	 joulijgijn    
16	Pl+Abe	 joulijttáá    	
	oboe	Spelling_1	Spelling_2
1	Sg+Nom	 oboe    	
2	Sg+Gen	 oboe    	
3	Sg+Acc	 oboe    	
4	Sg+Ill	 oboen    	
5	Sg+Loc	 oboest    	
6	Sg+Com	 oboein    	
7	Sg+Abe	 oboettáá    	
8	Ess	 oboen    	
9	Par	 oboed    	
10	Pl+Nom	 oboeh    	
11	Pl+Gen	 oboei    	
12	Pl+Acc	 oboeid    	
13	Pl+Ill	 oboeid    	
14	Pl+Loc	 oboein    	
15	Pl+Com	 oboeiguin    	 oboeigijn    
16	Pl+Abe	 oboeittáá    	
